id,full_text_file,publication_year,doi,title,include_flag_pg,include_raw_pg,reason_raw_pg,include_flag_la,include_raw_la,reason_raw_la,updated_reason_raw_la,species_raw_la,species_raw_pg,species_raw_combined,lifestage_raw_la,lifestage_raw_pg,lifestage_raw_combined,location_raw_la,location_raw_pg,location_raw_combined,species_standardized,lifestage_standardized,location_standardized
16,16_heggenes_1990,1990,10.1111/j.1095-8649.1990.tb04325.x,"Seasonal and spatial microhabitat selection and segregation in young Atlantic salmon, Salmo salar L., and brown trout, Salmo trutta L., in a Norwegian river",Y,Y,3a,Y,yes - direct attention to cover,3a,,"Atlantic salmon, brown trout","Atlantic salmon, brown trout","Atlantic salmon, brown trout",rearing (parr),young,rearing (parr) || young,"River Gjengedalselva, Norway","Gjengedalselva River, Norway","River Gjengedalselva, Norway || Gjengedalselva River, Norway",Salmo salar; Salmo trutta,juvenile_unspecified; parr,"Gjengedalselva River, Norway"
24,24_heggenes_1991,1991,10.1111/j.1600-0587.1991.tb00633.x,Comparisons of Habitat Availability and Habitat Use by an Allopatric Cohort of Juvenile Atlantic Salmon Salmo salar under Conditions of Low Competition in a Norwegian Stream,Y,Y,3a,Y,yes - directly measures and evaluates cover against juvenile fish presence,3a,,Atlantic salmon,Atlantic salmon,Atlantic salmon,rearing (parr),parr,rearing (parr) || parr,Norway,"Bolstadbekken, Norway","Norway || Bolstadbekken, Norway",Salmo salar,parr,"Bolstadbekken, Norway"
38,38_ibbotson_1994,1994,10.1111/j.1365-2400.1994.tb00157.x,Spatial and temporal distribution of fish in a small lowland stream,Y,Y,3a,Y,yes - it actually quantifies cover,3a,,"brown trout, Atlantic salmon, grayling, dace, roach, pike, eel","Atlantic salmon, dace, eel, grayling, trout, roach, pike","brown trout, Atlantic salmon, grayling, dace, roach, pike, eel || Atlantic salmon, dace, eel, grayling, trout, roach, pike",unclear,"parr, smolts or young-of-the-year","unclear || parr, smolts or young-of-the-year","East Stoke Millstream (River Frome), England","East Stoke Millstream, England","East Stoke Millstream (River Frome), England || East Stoke Millstream, England",Salmo salar; Salmo trutta; unresolved dace; unresolved eel; unresolved grayling; unresolved pike; unresolved roach; unresolved trout,juvenile_unspecified; parr; smolt; subyearling,"East Stoke Millstream (River Frome), England, UK"
32,32_allen_2000,2000,,"Seasonal microhabitat use by juvenile spring chinook salmon in the Yakima River basin, Washington",Y,Y,3a,Y,"yes - direct measurements of fish location associated with cover, and buffer concept also applied!",3a,,Chinook salmon (spring run),chinook,Chinook salmon (spring run) || chinook,rearing,juvenile,rearing || juvenile,"Yakima River, Washington","Yakima River, Washington","Yakima River, Washington",Oncorhynchus tshawytscha (spring-run),juvenile_unspecified,"Yakima River, Washington, USA"
20,20_beecher_2002,2002,10.1577/1548-8675(2002)022<0785:EODAVP>2.0.CO;2,Evaluation of depth and velocity preferences of juvenile coho salmon in Washington streams,Y,Y,3c,N,no,1a,3c,coho salmon,coho,coho salmon || coho,"rearing (subyearling, yearling)",juvenile,"rearing (subyearling, yearling) || juvenile","Western Washington (four different creeks/rivers - three for habitat preference development, one for validation)","Satsop River, Washington","Western Washington (four different creeks/rivers - three for habitat preference development, one for validation) || Satsop River, Washington",Oncorhynchus kisutch,juvenile_unspecified; subyearling; yearling,"Western Washington study streams, Washington, USA"
45,45_lacey_2004,2004,10.1111/j.1752-1688.2004.tb01611.x,Reach scale hydraulic assessment of instream salmonid habitat restoration,Y,Y,2b,Y,yes - this looks at the direct effects of restoration on hydraulic conditions the benefit fish,2ai,"2a, 2b","coho salmon, steelhead trout","coho, steelhead","coho salmon, steelhead trout || coho, steelhead",rearing,fry,rearing || fry,"Chilliwack River, BC, Canada","Chilliwack River, British Columbia","Chilliwack River, BC, Canada || Chilliwack River, British Columbia",Oncorhynchus kisutch; Oncorhynchus mykiss (steelhead),fry,"Chilliwack River, British Columbia, Canada"
58,58_turgeon_2005,2005,10.1111/j.1365-2427.2005.01340.x,Predicting microhabitat selection in juvenile Atlantic salmon Salmo salar by the use of logistic regression and classification trees,Y,Y,3a,Y,yes - direct evaluation of fish behavior relative to cover,3a,,Atlantic salmon,Atlantic salmon,Atlantic salmon,rearing (parr),juvenile,rearing (parr) || juvenile,"Big Jonathan Brook, Québec, Canada","Big Jonathan Brook, Quebec, Canada","Big Jonathan Brook, Québec, Canada || Big Jonathan Brook, Quebec, Canada",Salmo salar,juvenile_unspecified; parr,"Big Jonathan Brook, Quebec, Canada"
19,19_wondzell_2007,2007,10.1016/j.landurbplan.2006.10.012,"Simulating riparian vegetation and aquatic habitat dynamics in response to natural and anthropogenic disturbance regimes in the Upper Grande Ronde River, Oregon, USA",Y,Y,1b,Y,yes - interesting work on long-term evolution of habitat response to disturbance and land use changes with cover treated explicitly in modeling,5? this paper was purely modeling (process-based),1b,"Chinook salmon, steelhead trout","chinook, steelhead","Chinook salmon, steelhead trout || chinook, steelhead","all - migration, spawning, rearing (summer, winter)","migration, spawning, summer rearing, winter rearing","all - migration, spawning, rearing (summer, winter) || migration, spawning, summer rearing, winter rearing","Grande Ronde River, Oregon","Upper Grande Ronde River, Oregon","Grande Ronde River, Oregon || Upper Grande Ronde River, Oregon",Oncorhynchus mykiss (steelhead); Oncorhynchus tshawytscha,adult; juvenile_unspecified,"Upper Grande Ronde River, Oregon, USA"
50,50_deschênes_2007,2007,10.1139/f07-053,Hierarchical analysis of relationships between brook trout (Salvelinus fontinalis) density and stream habitat features,Y,Y,3a,Y,yes - cover directly measured and related to fish density,3a,,brook trout,brook trout,brook trout,rearing (stream residents?),,rearing (stream residents?),"Cascapedia River, Québec, Canada","Cascapedia River basin, Quebec, Canada","Cascapedia River, Québec, Canada || Cascapedia River basin, Quebec, Canada",Salvelinus fontinalis,juvenile_unspecified,"Cascapedia River basin, Quebec, Canada"
40,40_johnson_2008,2008,10.1656/1092-6194-15.3.363,Seasonal Habitat Use of Brook Trout and Juvenile Atlantic Salmon in a Tributary of Lake Ontario,Y,Y,3a,Y,yes - direct assessment of fish habitat occupancy relative to cover,3a,,"Atlantic salmon, brook trout","atlantic salmon, brook trout","Atlantic salmon, brook trout || atlantic salmon, brook trout",rearing,"overyearling, subyearling, juvenile","rearing || overyearling, subyearling, juvenile","Hart Brook, NY","Hart Brook, Lake Ontario","Hart Brook, NY || Hart Brook, Lake Ontario",Salmo salar; Salvelinus fontinalis,juvenile_unspecified; subyearling; yearling,"Hart Brook, New York, USA"
