reviewer_la,id,full_text_file_la,doi_la,title_la,species_raw_la,lifestage_raw_la,location_raw_la,cover_raw_la,cover_quantified_raw_la,habitat_use_raw_la,cover_influence_raw_la,drivers_raw_la,include_raw_la,reason_raw_la,updated_reason_raw_la,is_new_la,reviewer_source_la,include_flag_la,reviewer_pg,full_text_file_pg,doi_pg,title_pg,species_raw_pg,lifestage_raw_pg,location_raw_pg,cover_raw_pg,cover_quantified_raw_pg,habitat_use_raw_pg,cover_influence_raw_pg,drivers_raw_pg,include_raw_pg,reason_raw_pg,updated_reason_raw_pg,is_new_pg,reviewer_source_pg,include_flag_pg,full_text_file,doi,title,publication_year,doi_match,title_match,full_text_file_match,species_raw_combined,lifestage_raw_combined,location_raw_combined
LA,1,01_gard_2023a,10.51492/cfwj.109.12,Central Valley anadromous salmonid habitat suitability criteria,"Chinook salmon, steelhead trout","spawning, rearing (juvenile and fry)",California (Central Valley),"defined cover coding system (cobble, boulder, fine woody vegetation, fine woody vegetation + overhead, branches, branches + overhead, log, log + overhead, overhead cover, undercut bank, aquatic vegetation, aquatic vegetation + overhead, rip-rap)","""The first step in the development of the cover criteria was to group cover codes, so that there were no significant differences within the groups and a significant difference between the groups, using Pearsons test for association. Categorical data (substrate and cover) are developed into HSC by calculating the frequencies for each substrate or cover code, and then dividing the frequencies by the highest frequency cover or substrate code, so that the highest HSI value is 1.0. For the Sacramento River, effects of availability on cover use were addressed by subsampling equal areas with and without woody cover... This technique could not be used for the Yuba River and Clear Creek, due to the limited availability of woody cover. As a result, the HSI for each cover group was calculated by dividing the percent of occupied locations in each group by the percent of occupied locations in the group with the highest percent of occupied locations.""","spawning - wading and getting direct measurements at redds (shallow), video (deep) rearing - snorkel surveys/SCUBA, depending on water depth (dropping numbered tags at fish locations, recording fish size/species/cover code, then measuring depth, velocity, and adjacent velocity at each tag; presence/absence includes sampling unoccupied locations)","juveniles showed preferences for branches, branches + overhead, logs, logs + overhead, undercut banks; natural complexity was important; in Clear Creek, cobble was also preferred/optimal","""for anadromous salmonids, preferred habitat conditions are assumed to translate into increased growth and survival"" (stated but untested assumption); paper suggests that cover allows for food availability via drift, using cover-provided velocity refuges; importantly, this paper evaluates habitat selection but not habitat's influence on fish outcomes (growth, survival, etc.)","yes - directly applicable, full treatment and discussion of cover related to observed Central Valley salmonid habitat preferences across multiple tributaries/rivers","3a, 5",,,LA,Y,PG,01_gard_2023a,10.51492/cfwj.109.12,Central Valley anadromous salmonid habitat suitability criteria,"chinook, steelhead","spawning, fry rearing, juvenile rearing","Sacramento, Tuolumne, American, Feather and Yuba rivers, Clear Creek","Cobble (75–300 mm), Boulder (> 300 mm), Fine woody vegetation (< 25 mm diameter), Fine woody vegetation + overhead, Branches, Branches + overhead, Log (> 300 mm diameter), Log + overhead , Overhead cover (> 0.6 m above substrate), Undercut bank, Aquatic vegetation, Aquatic vegetation + overhead, Rip-rap",the HSI for each cover group was calculated by dividing the percent of occupied locations in each group by the percent of occupied locations in the group with the highest percent of occupied locations,"reviewed gray literature (agency and consultant reports), snorkeling or scuba, with numbered tags dropped at fish locations",Cover HSC showed consistent optimal HSI values for complex woody cover and undercut banks,"study observed optimal depth, velocity and cover by species and life stage presence",N,3a,,,PG,N,01_gard_2023a,10.51492/cfwj.109.12,Central Valley anadromous salmonid habitat suitability criteria,,TRUE,TRUE,TRUE,"Chinook salmon, steelhead trout || chinook, steelhead","spawning, rearing (juvenile and fry) || spawning, fry rearing, juvenile rearing","California (Central Valley) || Sacramento, Tuolumne, American, Feather and Yuba rivers, Clear Creek"
LA,2,02_gard_2023b,10.51492/cfwj.109.14,Development of habitat suitability criteria for macroinvertebrate community metrics for use in habitat restoration projects,"Chinook salmon, a variety of macroinvertebrates (baetid, chironomid, hydropsychid)","rearing, indirectly as related to value of macroinvertebrate availablility",California (Sacramento River between Keswick Reservoir/Dam and Battle Creek),N/A - substrate discussed but not really a discussion of cover,N/A - cover not meaningfully defined or quantified,N/A - fish habitat use is not measured,N/A - not evaluated,N/A - paper frames macroinvertebrate biomass as a potential food limitation for juvenile salmonids but does not analyze juvenile rearing drivers directly,no - this paper is about macroinvertebrates and doesn't evaluate cover,1a,,,LA,N,PG,02_gard_2023b,10.51492/cfwj.109.14,Development of habitat suitability criteria for macroinvertebrate community metrics for use in habitat restoration projects,"macroinvertebrate (baetids, chironomids and hydropsychids)",represent food supply for juvenile salmonids,Sacramento River and Battle Creek,no cover,no cover,"mesohabitat type, depth, velocity and substrate, customized macroinvertebrate Surber sampler","""there is little overlap between macroinvertebrate habitat and juvenile salmonid physical habitat, which is generally slow, shallow with woody cover""",no juvenile salmon,N,"1a, 4",,,PG,N,02_gard_2023b,10.51492/cfwj.109.14,Development of habitat suitability criteria for macroinvertebrate community metrics for use in habitat restoration projects,,TRUE,TRUE,TRUE,"Chinook salmon, a variety of macroinvertebrates (baetid, chironomid, hydropsychid) || macroinvertebrate (baetids, chironomids and hydropsychids)","rearing, indirectly as related to value of macroinvertebrate availablility || represent food supply for juvenile salmonids",California (Sacramento River between Keswick Reservoir/Dam and Battle Creek) || Sacramento River and Battle Creek
LA,3,03_maki-petays_2002,10.1139/F01-209,Transferability of habitat suitability criteria of juvenile Atlantic salmon (Salmo salar),Atlantic salmon,rearing,Finland,"cobble, but doesn't address cover more generally/meaningfully","substrate classified into size bins, dominant size class visually determined in quadrats below fish","methods varied by river - one river was a snorkel survey, the others were electrofishing","smaller salmon preferred finer substrate (large pebbles to boulders), larger salmon preferred coarser substrate (cobbles to boulders)","depth (larger fish use deeper water), substrate size classes depending on fish size, habitat availability (""river-specific differences in habitat use and suitability by salmon mainly reflect a concurrent change in habitat availability among the rivers"")",maybe - only insofar as it is proof that a lot of habitat suitability work considers substrate but not other forms of cover,1a,,,LA,M,PG,03_maki-petays_2002,10.1139/F01-209,Transferability of habitat suitability criteria of juvenile Atlantic salmon (Salmo salar),Atlantic salmon,juvenile,"Tenojoki, Simojoki, Pyhäjoki, and Koitajoki, Finnland","no cover - water depth, velocity and substrate composition",no cover,"snorkel survey and electrofishing, depth of water column, mean water velocity, and substratum particle size were recorded for each fish position",the optimal substrate size varied from large pebbles to boulders for salmon <9 cm and from cobbles to large boulders for salmon >9 cm.,"gradient from shallow, low-velocity habitats with coarse substrates to deep, swift currents with finer substrates",N,1a,,,PG,N,03_maki-petays_2002,10.1139/F01-209,Transferability of habitat suitability criteria of juvenile Atlantic salmon (Salmo salar),2002,TRUE,TRUE,TRUE,Atlantic salmon,rearing || juvenile,"Finland || Tenojoki, Simojoki, Pyhäjoki, and Koitajoki, Finnland"
LA,4,04_kennedy_2014,10.1111/fme.12077,Assessment of a catchmentwide salmon habitat rehabilitation scheme on a drained river system in Northern Ireland,"Atlantic salmon, brown trout","rearing (fry, parr)",Northern Ireland,"boulders, cobble","substrate classified into 5 categories (modified Wentworth; ""stream bed cover""), boulders described by size and density of placement",semi-quantitative electrofishing (5-min timed samples with single-anode backpack); metric was number of 0+ fish per 5 min; also measured fork length also quantitative electrofishing (stop netted section with a minimum of 3 passes); density estimates created with Zippin removal method,deflector sites with the greatest substrate heterogeneity had the greatest fish density; boulder sites had fewer fish but still more than control sites,"enhanced substrate heterogeneity (mechanisms are territory availability, hydraulic refuge, predator cover), general habitat enhanced (restoration in this research was in degraded, channelized areas), immigration/redistribution (enhanced sites may provide habitat for downstream migrants rather than increasing local recruitment)","yes - good treatment of boulders, explicitly focused on restoration actions",3a,,,LA,Y,PG,04_kennedy_2014,10.1111/fme.12077,Assessment of a catchmentwide salmon habitat rehabilitation scheme on a drained river system in Northern Ireland,"Atlantic salmon, brown trout",juvenile salmon between 0+ (summer) and 1+ (summer) age classes,"River Main, Northern Ireland",flow deflectors (built from rock and engineered to reduce base width by around 33%) or random boulder addition,"immediately before enhancement work and then again 5 years, including control sites","transects of habitat characteristics (depth, flow velocity and substrate), electrofishing, batch marking","No significant difference was evident in the fry index or 0+ salmon densities between pre-enhancement and postenhancement influenced periods, older salmon parr (>0+) exhibited a general increase in density at enhancement sites after habitat works and showed a significant difference between control and treatment sites post-works, increase in >0+ salmon density at enhanced sites corresponded with observed changes in habitat characteristics (substrate, depth, stream bed cover). 0+ and 1+ trout densities were not significantly different between control and boulder sites but that deflector-enhanced sites had significantly higher densities, >1+ trout higher abundance at both boulder and deflector enhanced sites relative to controls","deflector enhanced sites showed greater diversity in habitat characteristics after 5 years, with nursery, spawning and holding habitat all identified, and flow velocity increased significantly, sites at which boulders was added also showed no significant changes in depth, width and flow velocity but did indicate a significant increase in mean substratum particle size relative to the pre-enhancement assessment",Y,"3a, 3c",,,PG,Y,04_kennedy_2014,10.1111/fme.12077,Assessment of a catchmentwide salmon habitat rehabilitation scheme on a drained river system in Northern Ireland,2014,TRUE,TRUE,TRUE,"Atlantic salmon, brown trout","rearing (fry, parr) || juvenile salmon between 0+ (summer) and 1+ (summer) age classes","Northern Ireland || River Main, Northern Ireland"
LA,5,05_braaten_1997,10.1002/(SICI)1099-1646(199707)13:4<345::AID-RRR445>3.3.CO;2-0,Development and evaluation of bioenergetic-based habitat suitability criteria for trout,"rainbow trout, cutthroat trout",rearing,"Wyoming (Green River, Dirtyman Fork)",N/A - cover discussed narratively in describing sites but not given any treatment beyond that,N/A - cover not meaningfully defined or quantified,"radiotelemetry with bidirectional loop antenna and triangulation for rainbow trout (accurate to 2.7m circular radius), visual observation (from bank and snorkeling) for cutthroat trout",N/A - not evaluated,"profitable velocity - feeding efficiency changes with fish size, affecting optimal velocities and energy balance; desirable depth (combined with profitable velocity) important and infrequent for cutthroat, prompting fish to occupy suboptimal locations due to depth restrictions; substantial individual variation observed",no,1a,,,LA,N,PG,05_braaten_1997,10.1002/(SICI)1099-1646(199707)13:4<345::AID-RRR445>3.3.CO;2-0,Development and evaluation of bioenergetic-based habitat suitability criteria for trout,"rainbow trout, Colorado River cutthroat trout","rainbow trout (mean weight 187 g, range 82±322 g), and for Colorado River cutthroat trout (mean weight 16 g, range 8±28 g)","Green River, Colorado",no cover,no cover,compared suitable velocity (literature) applied to metabolic models to presence/observed velocity,habitat suitability criteria was based on net energy gain using velocity (literature) applied to metabolic models,"rainbow trout, as a group, were using energetically profitable stream locations, but some rainbow trout used non-profitable velocities, cutthroat trout used signi®cantly lower velocities than predicted",N,1a,,,PG,N,05_braaten_1997,10.1002/(SICI)1099-1646(199707)13:4<345::AID-RRR445>3.3.CO;2-0,Development and evaluation of bioenergetic-based habitat suitability criteria for trout,1997,TRUE,TRUE,TRUE,"rainbow trout, cutthroat trout || rainbow trout, Colorado River cutthroat trout","rearing || rainbow trout (mean weight 187 g, range 82±322 g), and for Colorado River cutthroat trout (mean weight 16 g, range 8±28 g)","Wyoming (Green River, Dirtyman Fork) || Green River, Colorado"
LA,6,06_wilbur_2020,10.1002/rra.3570,Characterizing physical habitat preferences and thermal refuge occupancy of brook trout (Salvelinus fontinalis) and Atlantic salmon (Salmo salar) at high river temperatures,"Atlantic salmon, brook trout","rearing (parr), adults","New Brunswick, Canada","substrate (divided into 20-cm width bins), vegetation, woody debris",not directly quantified; wrapped into a composite substrate index created with Instream Flow Incremental Methodology,"snorkel surveys conducted during ""high temperature"" events, fish locations and behavior (stationary vs. feeding) noted, fish length estimated",N/A - not evaluated; study's focus was thermal refugia,"cold water refugia availability (sought by brook trout of all sizes when ambient temp >21C and salmon parr when ambient temp >25C), deep water availability for large-bodied fish, velocities in certain ranges; no substrate preferences observed",no,1a,3c,,LA,N,PG,06_wilbur_2020,10.1002/rra.3570,Characterizing physical habitat preferences and thermal refuge occupancy of brook trout (Salvelinus fontinalis) and Atlantic salmon (Salmo salar) at high river temperatures,"brook trout, Atlantic salmon",parr,"Cains River, New Brunswick","habitat suitability curves were developed for velocity, temperature, depth, substrate","vegetation, gravel, bedrock, cobble","snorkelling surveys, thermal images to map cold-water anomalies as refugia during higher river temperature periods (>21C).",All fish groups showed a wide range of apparent substrate suitability,"small-bodied trout (8–30 cm) were observed in 80% of the thermal anomalies sampled, 100% of observed large trout (>35 cm) used 30% of the anomalies sampled and required water depths >65 cm within or adjacent to the anomaly. Salmon parr appeared to aggregate at 27C, 59% were found in 65% of the sampled anomalies; and densities were not significantly different within/ outside anomalies.",Y,3c,,,PG,Y,06_wilbur_2020,10.1002/rra.3570,Characterizing physical habitat preferences and thermal refuge occupancy of brook trout (Salvelinus fontinalis) and Atlantic salmon (Salmo salar) at high river temperatures,2020,TRUE,TRUE,TRUE,"Atlantic salmon, brook trout || brook trout, Atlantic salmon","rearing (parr), adults || parr","New Brunswick, Canada || Cains River, New Brunswick"
LA,7,07_brown_2024,10.1080/24705357.2022.2162987,"Chinook Salmon habitat evolution following river restoration, drought, and flood",Chinook salmon (fall run),"spawning, rearing","Merced River, California",N/A - cover discussed narratively in describing site but not given any treatment beyond that,N/A - cover not meaningfully defined or quantified,snorkeling (redd surveys),N/A - not evaluated,habitat restoration creating more suitable habitat; important design features included flow reversals with riffle pool maintenance mechanism embedded in design,no,1a,,,LA,N,PG,07_brown_2024,10.1080/24705357.2022.2162987,"Chinook Salmon habitat evolution following river restoration, drought, and flood",Chinook Salmon,spawning and rearing,"Merced River, California",no cover,no cover,"juvenile habitat suitabilty index, water depth and depth-averaged velocity outputs, curves were based on Cramer Fish Sciences (2018).","this study evaluated depth and velocity suitability pre and post restoration, stated importance of cover, but not included in models","restoration, the river channel was rescaled into a mosaic of riffles, pools and lateral bars (floodplain), following restoration, juvenile rearing habitat area more than doubled, increasing by 5.3 hectares, or 261%, compared to pre-project conditions",N,1a,,,PG,N,07_brown_2024,10.1080/24705357.2022.2162987,"Chinook Salmon habitat evolution following river restoration, drought, and flood",2024,TRUE,TRUE,TRUE,Chinook salmon (fall run) || Chinook Salmon,"spawning, rearing || spawning and rearing","Merced River, California"
LA,8,08_ahmadi-nedushan_2006,10.1002/rra.918,A review of statistical methods for the evaluation of aquatic habitat suitability for instream flow assessment,"N/A - review paper, multiple species discussed but no particular focus",N/A,N/A - review paper,"cover mentioned as habitat variable in HSI models but isn't the main focus; studies reviewed considered general ""cover,"" woody debris, substrate composition, vegetation)","N/A - mentions cover as categorical variable in some models and percentage coverage in others, but no detailed protocols",N/A - discusses presence/absence and abundance data across studies but provides no detailed field protocols,N/A - not directly addressed; paper focuses on statistical methodology rather than ecological mechanisms,"most frequently significant variables are depth, velocity, temperature, substrate composition; woody debris was significant in some studies; cover area/percentage important for some species; spawning substrate important","yes - an interesting discussion of statistical methods for assessing habitat suitability, challenges common basic methods that assume independence despite common multicollinearity",5,,,LA,Y,PG,08_ahmadi-nedushan_2006,10.1002/rra.918,A review of statistical methods for the evaluation of aquatic habitat suitability for instream flow assessment,,,,,,,,literature review of statstical approaches for habitat suitability,N,5,,,PG,N,08_ahmadi-nedushan_2006,10.1002/rra.918,A review of statistical methods for the evaluation of aquatic habitat suitability for instream flow assessment,2006,TRUE,TRUE,TRUE,"N/A - review paper, multiple species discussed but no particular focus",N/A,N/A - review paper
LA,9,09_conallin_2010,10.1080/15715121003714936,Habitat suitability indices development in Denmark: are international indices applicable under small lowland stream conditions?,brown trout,rearing (large parr),Denmark,N/A - not discussed,N/A - cover not meaningfully defined or quantified,"varied by paper - predominantly electrofishing, but some snorkeling as well",N/A - not evaluated,depth and velocity within suitable species-specific ranges,yes - good discussion of the degree to which HSIs transfer (or not) across geographies and how selecting an HSI computational method for a given location should be done,5,1a,,LA,Y,PG,09_conallin_2010,10.1080/15715121003714936,Habitat suitability indices development in Denmark: are international indices applicable under small lowland stream conditions?,brown trout,large parr (7–20 cm in total length),"Langvad stream, Roskilde Fjord, Denmark",no cover,no cover,simulated physical habitat (depth and velocity) versus discharge relationships to calcuate the maximum WUA and the corresponding ‘optimum’ discharge,this study is a comparison of HSI transferability assessments based on a simple hierarchical literature review ranking system and model simulations,"not evlauted, biological and instream site physical (stream size and gradient, discharge) characteristics of a stream were more influential than area (local or international) for transferability of HIS",N,1a,,,PG,N,09_conallin_2010,10.1080/15715121003714936,Habitat suitability indices development in Denmark: are international indices applicable under small lowland stream conditions?,2010,TRUE,TRUE,TRUE,brown trout,rearing (large parr) || large parr (7–20 cm in total length),"Denmark || Langvad stream, Roskilde Fjord, Denmark"
LA,10,10_boessow_2021,10.1002/aqc.3431,Spawning habitat suitability for coastal cutthroat trout: Microhabitat and mesohabitat,cutthroat trout (coastal),spawning,"Skookum Creek, Washington",N/A - substrate discussed but not really a discussion of cover,N/A - cover not meaningfully defined or quantified,"weekly redd surveys accompanied by site characterization (depth, velocity, substrate, position)",N/A - not evaluated,"proximity to hydraulic controls, RRD (0.05-0.10), depth (21-24cm), velocity (61-64 cm/s), and medium gravel substrate",maybe - discusses how habitat suitability should be characterized with variables across nested spatial scales,1a,,,LA,M,PG,10_boessow_2021,10.1002/aqc.3431,Spawning habitat suitability for coastal cutthroat trout: Microhabitat and mesohabitat,cutthroat trout,spawning and incubation,"Skookum Creek, Puget Sound, Washington",no cover,no cover,"redd surveys of pool–riffle sequences, depth, velocity and substrate",juveniles not included,"Redds were distributed nonrandomly in relation to some variables at the microhabitat (depth, velocity, Froude number, and substrate) and mesohabitat scales (secondary and tertiary channel units nearest the HC, the lowest point on the highest ridge across the riffle that controls the water surface elevation in the upstream pool),",N,"1a, 4",,,PG,N,10_boessow_2021,10.1002/aqc.3431,Spawning habitat suitability for coastal cutthroat trout: Microhabitat and mesohabitat,2021,TRUE,TRUE,TRUE,cutthroat trout (coastal) || cutthroat trout,spawning || spawning and incubation,"Skookum Creek, Washington || Skookum Creek, Puget Sound, Washington"
